user_id,user_name,tweet_time,location,text
1008785638106202120,Trump Supporter2020,Wed Sep 12 00:40:27 +0000 2018,None,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer
827187458244751360,SuzieQ,Wed Sep 12 00:40:28 +0000 2018,United States,RT @PhoebeDRobinson: PLEASE listen to @SidneyPowell1. America is in a fight for its heart and soul. VOTE RED #MAGA to give Pres @realDonald
751236649460256768,Jennifer Palmer,Wed Sep 12 00:40:31 +0000 2018,Phoenix AZ,One more person was just killed in #California. #POTUS its your job to take action. #BackfireTrump https://t.co/xEgj6Fe4RA
3296001394,James Riedmiller ,Wed Sep 12 00:40:35 +0000 2018,None,Another life was just lost in #California. #POTUS it's time to do something. #BackfireTrump https://t.co/TLdP8cX3Bm
779114917748150272,Debbie Weaver,Wed Sep 12 00:40:36 +0000 2018,N.E TN USA,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer
187419840,txlady706,Wed Sep 12 00:40:36 +0000 2018,T,@Anon_decoder @HopefulPatriots I'm formally a #NYC res and every time I hear #Bush I am sick. Ever1 forgets that i https://t.co/BdmIWsP3Of
3065804135,End Gun Violence Now,Wed Sep 12 00:40:39 +0000 2018,The Polls,Shooting in #California just took an American life. #POTUS please do something. #BackfireTrump https://t.co/q1c6mpbgvj
878294216287412226,CindyKissMyBot,Wed Sep 12 00:40:40 +0000 2018,Missouri USA,RT @angel2c123: #TrumpTrain flip this poll https://t.co/q73Cmtpxby
861601109105946624,floyd,Wed Sep 12 00:40:40 +0000 2018,None,RT @Starlight_David: North Korea must not make any more threats to The United States. They will be met with Fire and Fury like the world h
3415336570,g is ia bc school,Wed Sep 12 00:40:43 +0000 2018,not where i want to be,#California is suffering today after fatal shooting. #POTUS stop the bloodshed. #BackfireTrump https://t.co/5hZjCx0Fig
735554101602193408,Coon Hownd,Wed Sep 12 00:40:43 +0000 2018,None,RT @txlady706: @robjh1 I'm formally a NYC res and every time I hear #Bush I am sick. Ever1 forgets that it was he that a week later came o
2303716045,LochTheScot,Wed Sep 12 00:40:46 +0000 2018,Western PA,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer
970031972172075008,Gus Bronson,Wed Sep 12 00:40:49 +0000 2018,Made & Raised in the USA,RT @LouDobbs: Tonights #QuoteOfTheDay is from President @realdonaldtrump. #MAGA #TrumpTrain #Dobbs https://t.co/Px77cRSOPW
513661299,Cheryl,Wed Sep 12 00:40:51 +0000 2018,None,#California is suffering today after fatal shooting. #POTUS stop the bloodshed. #BackfireTrump https://t.co/5Bbo8zff91
212429778,donna morreale,Wed Sep 12 00:40:55 +0000 2018,fullerton ca,Another life just lost in #California. #POTUS please end the suffering. #BackfireTrump https://t.co/4x2ITqgBDE
3541055653,Chrissy B ,Wed Sep 12 00:40:56 +0000 2018,Independence MO,RT @BrianPaulStuart: Do I look like a guy who needs hookers? ~ #DonaldTrump cc: @realDonaldTrump https://t.co/Vayo81s9uJ
886539856087846912,avass,Wed Sep 12 00:40:58 +0000 2018,None,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need
878103424537174017,J B,Wed Sep 12 00:41:00 +0000 2018,Connecticut USA,RT @NYGuy13: The #FakeNewsMedia is not discussing this. #BuildThatWall https://t.co/M9qJaHQjUO via @BreitbartNews
63796576,I  LIBERTY,Wed Sep 12 00:41:00 +0000 2018,USA,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need
3291164095,MrsSOS,Wed Sep 12 00:41:02 +0000 2018,NO DMs,RT @webcamsla: @RepMarkMeadows Democrats welcome terrorists with open arms and open borders #buildthatwall #NeverForget democrats caused 9/
4087431013,Bob,Wed Sep 12 00:41:02 +0000 2018,(list=block),RT @LouDobbs: Tonights #QuoteOfTheDay is from President @realdonaldtrump. #MAGA #TrumpTrain #Dobbs https://t.co/Px77cRSOPW
200692926,lulu,Wed Sep 12 00:41:03 +0000 2018,None,One more person was just killed in #California. #POTUS its your job to take action. #BackfireTrump https://t.co/WEvKEKY58B
887263798251458560,John lee,Wed Sep 12 00:41:05 +0000 2018,United States,RT @LouDobbs: Tonights #QuoteOfTheDay is from President @realdonaldtrump. #MAGA #TrumpTrain #Dobbs https://t.co/Px77cRSOPW
1936536769,Phil  USA,Wed Sep 12 00:41:07 +0000 2018,None,RT @CarmineZozzora: Only idiot menace Barack Obama could pull such a completely shameless ploy as to attempt to take credit for the Trump e
3448616302,Orlando Alessandrini,Wed Sep 12 00:41:07 +0000 2018,Miami FL,Maybe 1000s of others were out working b/c of #PresidentTrump and his economic policies?
705047741911736320,SaySomething,Wed Sep 12 00:41:08 +0000 2018,The Land Of The Free Because Of The Brave USA,Heads Up #Minnesota #TrumpTrain #CreepingSharia VOTE... #REDWAVE
27587178,Angel777TN,Wed Sep 12 00:41:09 +0000 2018,Nashville TN,@ChicotheCanine @realDonaldTrump I love this...I hope you get to see this. #POTUS
3275453275,Victor Ruelas,Wed Sep 12 00:41:11 +0000 2018,None,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need
1668352844,Paul Dillon18,Wed Sep 12 00:41:11 +0000 2018,None,Another life just lost in #California. #POTUS please end the suffering. #BackfireTrump https://t.co/2uKbZAtevw
886539856087846912,avass,Wed Sep 12 00:41:12 +0000 2018,None,RT @LouDobbs: Tonights #QuoteOfTheDay is from President @realdonaldtrump. #MAGA #TrumpTrain #Dobbs https://t.co/Px77cRSOPW
744832814,ThatWriter,Wed Sep 12 00:41:14 +0000 2018,Australia,Bolton Conway Sanders...whats in it for them? https://t.co/YUJATo69yY via @YouTube #trumptrain #WestWing #TarotReading
2847958045,Robin Danko,Wed Sep 12 00:41:17 +0000 2018,None,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer
49163316,D'Artagnan 4&4,Wed Sep 12 00:41:18 +0000 2018,Earth,RT @Kegan05: #Trumps Reaction on 9/11/01 Proved He Was #Unfit to Be #President https://t.co/6K53y4eQus After the twin towers fell that
4805424800,Jimmy H Campbell,Wed Sep 12 00:41:19 +0000 2018,None,RT @globalsocialm2: @WhiteHouse @realDonaldTrump @FLOTUS @realDonaldTrump You have my vote and support President Trump. #KeepFighting #45 #
967115032155869186,Progressive2323,Wed Sep 12 00:41:19 +0000 2018,None,One more person was just killed in #California. #POTUS its your job to take action. #BackfireTrump https://t.co/yfHjupvWEb
22726075,J Thurman,Wed Sep 12 00:41:22 +0000 2018,VA,RT @LouDobbs: #DrainTheSwamp @mattgaetz: Only transparency can expose the extent of the corruption and the cabal. We cant show the Amer
3195633440,Shayon Saha,Wed Sep 12 00:41:23 +0000 2018,Bronx NY,RT @EricTrump: Small business optimism surges to highest level ever topping previous record under Reagan #MakeAmericaGreatAgain @realDo
950269083630620672,Lisa KayTrump2020,Wed Sep 12 00:41:25 +0000 2018,United States,RT @MightyBusterBro: . 9-11 is ALSO the BENGHAZI ATTACK Anniversary In recent speeches OBAMA says it's a Republican Conspiracy Theory that
2566490573,DEPLORABLE  BULLDOG,Wed Sep 12 00:41:26 +0000 2018,Psalm 91,RT @LouDobbs: #RedWaveRising @SidneyPowell1: This years midterm is the most important in the history of our country. We dont just need
413590655,Zen Soul ,Wed Sep 12 00:41:27 +0000 2018,None,Another life just lost in #California. #POTUS please end the suffering. #BackfireTrump https://t.co/NdGNVlxdsP
